N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Studiengang,AbschlussArt
134,"Prüfungsordnung Textile Engineering, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjjdpj,20.03.2024,2024/042,4. Änderungsordnung (Gesamtfassung),,2019,Textile Engineering (privatrechtlich),Master
135,"Prüfungsordnung Robotic Systems Engineering, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjjanw,20.03.2024,2024/041,2. Änderungsordnung (Gesamtfassung),,2021,Robotic Systems Engineering,Master
136,Wahlordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjivnu,20.03.2024,2024/040,9. Änderungsordnung (Gesamtfassung),,,,nan
137,"Prüfungsordnung Management and Engineering in Production Systems (MME in Production Systems), Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjitwl,20.03.2024,2024/039,3. Änderungsordnung (Gesamtfassung),,2020,Management and Engineering in Production Systems (privatrechtlich),Master
138,Fachschaftsordnung 5/3 Geowissenschaften und Ressourcenmanagement,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjhwnb,20.03.2024,2024/036,3. Änderungsordnung (Gesamtfassung),,,,nan
139,Fachschaftsordnung 4 Maschinenbau,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjgxba,20.03.2024,2024/034,6. Änderungsordnung (Gesamtfassung),,,,nan
140,"Prüfungsordnung Computer Engineering Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacizyebg,12.03.2024,2024/033,1. Änderungsordnung (Gesamtfassung),,2022,Computer Engineering,Bachelor
141,"Prüfungsordnung Computer Engineering Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacizwibn,12.03.2024,2024/032,2. Änderungsordnung (Gesamtfassung),31.03.2026,2021,Computer Engineering,Bachelor
142,"Prüfungsordnung Elektrotechnik mit Orientierungssemester, Teilstudiengang Elektrotechnik und Informationstechnik mit Orientierungssemester, Bachelor, (04/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaciznsmu,12.03.2024,2024/031,1. Änderungsordnung (Gesamtfassung),,2021,Elektrotechnik mit Orientierungssemester,Bachelor
143,"Prüfungsordnung Elektrotechnik mit Orientierungssemester, Teilstudiengang Elektrotechnik, Informationstechnik und Technische Informatik mit Orientierungssemester, Bachelor, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaciznqoa,12.03.2024,2024/030,1. Änderungsordnung (Gesamtfassung),31.03.2025,2018,"Elektrotechnik, Informationstechnik und Technische Informatik",Bachelor
