N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Studiengang,AbschlussArt
187,"Prüfungsordnung Architektur, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbsknmn,25.07.2023,2023/081,8. Änderungsordnung (Gesamtfassung),,2019,Architektur,Master
188,"Prüfungsordnung Engineering Geohazards, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbskfok,25.07.2023,2023/080,3. Änderungsordnung (Gesamtfassung),,2020,Engineering Geohazards,Master
189,"Prüfungsordnung für das Bildungswissenschaftliche Studium und DSSZ, Lehramt am Berufskolleg, Master, Studiengangmodell III, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbnckai,18.07.2023,2023/079,3. Änderungsordnung (Gesamtfassung),,2017,Bildungswissenschaftliches Studium,Lehramt
190,"Prüfungsordnung Große berufliche Fachrichtung Maschinenbautechnik (Studiengangmodell III), Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbncbws,18.07.2023,2023/078,2. Änderungsordnung (Gesamtfassung),,2017,Maschinenbau (Kombin.Studiengang),Master
191,Fachschaftsrahmenordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbnbgpp,18.07.2023,2023/076,10. Änderungsordnung (Gesamtfassung),,,,nan
192,"Prüfungsordnung Materials Engineering, Master, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbamvnr,11.07.2023,2023/074,1. Änderungsordnung (Gesamtfassung),,2022,Materials Engineering (International Profile),Master
193,Grundordnung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacazghxj,10.07.2023,2023/073,10. Änderungsordnung (Gesamtfassung),,,,nan
194,"Prüfungsordnung Wirtschaftsingenieurwesen (Business Administration and Engineering), Bachelor, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacazexop,10.07.2023,2023/072,10. Änderungsordnung (Gesamtfassung),30.09.2024,2013,Wirtschaftsingenieurwesen Werkstoff- u. Prozesstechnik,Bachelor
195,"Prüfungsordnung Nachhaltige Rohstoff- und Energieversorgung, Bachelor, (10/2018 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacaxvley,06.07.2023,2023/063,5. Änderungsordnung (Gesamtfassung),31.03.2028,2018 s,Nachhaltige Rohstoff- und Energieversorgung,Bachelor
196,"Prüfungsordnung Physik, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacaxtyev,06.07.2023,2023/061,Berichtigung der Ordnung,,2023,Physik,Bachelor
197,Geschäftsordnung der Ausländerinnen- und Ausländervertretung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacaquenb,29.06.2023,2023/059,1. Änderungsordnung (Gesamtfassung),,,,nan
198,"Prüfungsordnung Technik-Kommunikation, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacajftnx,20.06.2023,2023/058,8. Änderungsordnung (Gesamtfassung),31.03.2027,2013 s,Technik-Kommunikation,Master
199,"Prüfungsordnung Technik-Kommunikation, Bachelor, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacajfoua,20.06.2023,2023/057,8. Änderungsordnung (Gesamtfassung),31.03.2027,2013 s,Technik-Kommunikation,Bachelor
200,"Prüfungsordnung Physik Plus, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabztzjvo,01.06.2023,2023/055,Ordnung,,2023,Physik Plus,Bachelor
201,"Prüfungsordnung Physik, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabztyxfu,01.06.2023,2023/054,Ordnung,,2023,Physik,Bachelor
202,Satzung des Sprachenzentrums,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbrjblx,23.05.2023,2023/051,2. Änderungsordnung (Gesamtfassung),,,,nan
203,Ordnung über den Umgang mit Ordnungsverstößen von Studierenden und Ordnungsmaßnahmen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabzefqvt,11.05.2023,2023/049,Ordnung,,,,nan
204,Hausordnung der RWTH,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabyysibj,04.05.2023,2023/048,4. Änderungsordnung (Gesamtfassung),,,,nan
205,"Prüfungsordnung Automatisierungstechnik, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabyysfpi,04.05.2023,2023/047,9. Änderungsordnung (Gesamtfassung),31.03.2026,2013 s,Automatisierungstechnik,Master
206,"Prüfungsordnung Automatisierungstechnik, Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabyyrvsh,04.05.2023,2023/046,1. Änderungsordnung (Gesamtfassung),,2023,Automatisierungstechnik,Master
207,Promotionsordnung Fakultät für Maschinenwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabymboxy,20.04.2023,2023/044,7. Änderungsordnung (Gesamtfassung),,,,nan
208,"Prüfungsordnung Chemie, Master, (04/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabxxpusu,04.04.2023,2023/042,2. Änderungsordnung (Gesamtfassung),,2022,Chemie,Master
209,"Prüfungsordnung Chemie, Master, (10/2009 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabxxpfvc,04.04.2023,2023/041,9. Änderungsordnung (Gesamtfassung),30.09.2024,2009 s,Chemie,Master
210,Habilitationsordnung Fakultät für Georessourcen und Materialtechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabxffazy,23.03.2023,2023/040,1. Änderungsordnung (Gesamtfassung),,,,nan
211,"Prüfungsordnung Lasers in Dentistry, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabxfdyia,23.03.2023,2023/036,2. Änderungsordnung (Gesamtfassung),30.09.2024,2010 s,Lasers in Dentistry (privatrechtlich),Master
212,Geschäftsordnung für den Tierschutzausschuss,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwxsmsn,16.03.2023,2023/034,Sonstiges,,,,nan
213,"Prüfungsordnung Philosophie, Literatur- und Sprachwissenschaft, Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwxpldc,16.03.2023,2023/031,2. Änderungsordnung (Gesamtfassung),,2021,Philosophie,Bachelor
214,"Prüfungsordnung Construction and Robotics, Master, (04/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwqvocr,09.03.2023,2023/028,4. Änderungsordnung (Gesamtfassung),31.03.2027,2020,,Master
215,"Prüfungsordnung berufliche Fachrichtung Elektrotechnik (Studiengangmodell I) oder mit der Großen beruflichen Fachrichtung Elektrotechnik (Studiengangmodell II), Lehramt an Berufskollegs, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwoaymw,07.03.2023,2023/025,1. Änderungsordnung (Gesamtfassung),,2017,Elektrotechnik Berufskolleg,Lehramt
216,"Prüfungsordnung Unterrichtsfach Physik, Lehramt an Berufskollegs, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwoacer,07.03.2023,2023/024,Ordnung,,2023,Physik,Lehramt
217,"Prüfungsordnung Unterrichtsfach Physik, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwnzoas,07.03.2023,2023/023,Ordnung,,2023,Physik,Lehramt
218,"Prüfungsordnung Unterrichtsfach Technik, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwhscvx,28.02.2023,2023/014,2. Änderungsordnung (Gesamtfassung),,2018,Technik,Lehramt
219,"Prüfungsordnung Wirtschaftsgeographie, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvyrzas,14.02.2023,2023/012,5. Änderungsordnung (Gesamtfassung),,2013 s,Wirtschaftsgeographie,Master
220,"Prüfungsordnung Angewandte Geographie, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvyrshf,14.02.2023,2023/011,5. Änderungsordnung (Gesamtfassung),,2013 s,Angew. Geographie,Master
221,"Prüfungsordnung Sprach- und Kommunikationswissenschaft, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvurmut,09.02.2023,2023/008,1. Änderungsordnung (Gesamtfassung),,2022,Sprach- u. Kommunikationswissenschaft,Bachelor
222,"Prüfungsordnung, Literatur- und Sprachwissenschaft, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvqkyem,06.02.2023,2023/007,3. Änderungsordnung (Gesamtfassung),30.09.2026,2017,Literatur- und Sprachwissenschaft,Bachelor
223,Satzung für das Auswahlverfahren in örtlich zulassungsbeschränkten Studiengängen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvovooj,03.02.2023,2023/005,2. Änderungsordnung (Gesamtfassung),,,,nan
224,"Prüfungsordnung Robotic Systems Engineering, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvaahms,20.01.2023,2023/002,2. Änderungsordnung (Gesamtfassung),30.09.2024,2019,Robotic Systems Engineering,Master
225,"Prüfungsordnung Große beruflichen Fachrichtung Maschinenbautechnik, Lehramt an Berufkollegs, Bachelor, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabugokhs,23.12.2022,2022/170,2. Änderungsordnung (Gesamtfassung),,2020,Maschinenbau (Kombin.Studiengang),Bachelor
226,"Prüfungsordnung Master of Business Administration in Digitalization and Industrial Change (Full-Time MBA), Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabugcrsx,22.12.2022,2022/169,Ordnung,,2023,Full-Time MBA in Digitalization & Industrial Change (privatrechtlich),Master
227,"Prüfungsordnung Master of Business Administration in Digitalization and Industrial Change (Full-Time MBA), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabufpstv,21.12.2022,2022/168,2. Änderungsordnung (Gesamtfassung),31.03.2025,2021,Full-Time MBA in Digitalization & Industrial Change (privatrechtlich),Master
228,"Fakultätsordnung, Wirtschaftswissenschaften",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabufpasa,21.12.2022,2022/167,6. Änderungsordnung (Gesamtfassung),,,,nan
229,Leitlinien und Verfahren zur Sicherung guter wissenschaftlicher Praxis,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabuenrjf,20.12.2022,2022/164,1. Änderungsordnung (Gesamtfassung),,,,nan
230,"Prüfungsordnung, Hebammenwissenschaft, Bachelor, (04/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabudzmaf,19.12.2022,2022/163,1. Änderungsordnung (Gesamtfassung),,2022,Hebammenwissenschaft,Bachelor
231,"Praxissemester, Master, Lehramt an Gymnasien und Gesamtschulen sowie Lehramt an Berufskollegs",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabudwrpo,19.12.2022,2022/160,Berichtigung der 2. Änderungsordnung (Gesamtfassung),,,,Lehramt
232,"Prüfungsordnung Master of Science in Management and Engineering in Structural Engineering and Risk Management of Industrial Facilities (MME-Construct) der RWTH Aachen und der Maastricht School of Management, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabtxbdqa,12.12.2022,2022/155,4. Änderungsordnung (Gesamtfassung),30.09.2024,2018,Management and Engineering in Structural Engineering and Risk Management of Industrial Facilities (privatrechtlich),Master
233,"Prüfungsordnung Master of Science in Management and Engineering in Water (MME-Water) der RWTH Aachen und der Maastricht School of Management, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabtrqvts,05.12.2022,2022/154,1. Änderungsordnung (Gesamtfassung),30.09.2024,2018,Management and Engineering in Water (privatrechtlich),Master
234,"Prüfungsordnung Master of Science in Management and Engineering in Structural Engineering and Risk Management of Industrial Facilities (MME-Construct), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabtrpxgb,05.12.2022,2022/153,1. Änderungsordnung (Gesamtfassung),30.09.2024,2021,Management and Engineering in Structural Engineering and Risk Management of Industrial Facilities (privatrechtlich),Master
235,"Fakultätsordnung, Medizinische Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabstobik,09.11.2022,2022/151,7. Änderungsordnung (Gesamtfassung),,,,nan
236,Richtlinien zur Vergabe des Social Entrepreneurship Program-Stipendiums der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabsnvrao,03.11.2022,2022/150,1. Änderungsordnung (Gesamtfassung),,,,nan
237,"Gleichstellungsplan, Rahmenplan",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabsirioh,27.10.2022,2022/149,Ordnung,31.10.2027,,,nan
238,"Prüfungsordnung berufliche Fachrichtung Bautechnik, Lehramt an Berufskollegs, Master, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqzukmh,20.09.2022,2022/137,Ordnung,,2022,Bautechnik,Lehramt
239,"Prüfungsordnung Große berufliche Fachrichtung Bautechnik, Lehramt an Berufskollegs, Master, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqzszxz,20.09.2022,2022/136,Ordnung,,2022,Bautechnik,Lehramt
240,"Prüfungsordnung Große berufliche Fachrichtung Bautechnik, Lehramt an Berufskollegs, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqzsxgg,20.09.2022,2022/135,Ordnung,,2022,Bautechnik,Lehramt
241,Ethik: Satzung der fakultätsübergreifenden Ethikkommission,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqdtlzo,29.08.2022,2022/126,Sonstiges,,,,nan
242,"Prüfungsordnung Bildungswissenschaftliche Studium und DSSZ, Lehramt am Berufskolleg, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqdftyu,29.08.2022,2022/121,1. Änderungsordnung (Gesamtfassung),,2017,Bildungswissenschaftliches Studium,Lehramt
243,"Prüfungsordnung Bildungswissenschaftliche Studium und DSSZ, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqdfnrm,29.08.2022,2022/120,1. Änderungsordnung (Gesamtfassung),,2017,Bildungswissenschaftliches Studium,Lehramt
244,"Prüfungsordnung für das Bildungswissenschaftliche Studium, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqdeuiz,29.08.2022,2022/119,3. Änderungsordnung (Gesamtfassung),,2011,Bildungswissenschaftliches Studium,Lehramt
245,"Prüfungsordnung für das Bildungswissenschaftliche Studium, Lehramt am Berufskolleg, Bachelor, (10/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqddiyq,29.08.2022,2022/118,3. Änderungsordnung (Gesamtfassung),,2011,Bildungswissenschaftliches Studium,Lehramt
246,"Allgemeine Lab-, Atelier- und Werkstattordnung der Fakultät 2",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabptgidn,18.08.2022,2022/106,Ordnung,,,,nan
247,Ordnung für die Zulassung von internationalen Studienbewerberinnen und Studienbewerbern,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpkspli,09.08.2022,2022/104,Ordnung,,,,nan
248,Promotionsordnung Fakultät Georessourcen und Materialtechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpflubt,02.08.2022,2022/100,6. Änderungsordnung (Gesamtfassung),,,,nan
249,"Prüfungsordnung Molekulare und Angewandte Biotechnologie, Bachelor, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpfjbst,02.08.2022,2022/098,4. Änderungsordnung (Gesamtfassung),31.03.2028,2010 s,Molekulare und angewandte Biotechnologie,Bachelor
250,"Prüfungsordnung Biologie, Bachelor, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpfintz,02.08.2022,2022/097,3. Änderungsordnung (Gesamtfassung),31.03.2028,2010 s,Biologie,Bachelor
251,Übergreifende Prüfungsordnung zur Erweiterung eines lehramtsbezogenen Abschlusses,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpbpboz,27.07.2022,2022/094,1. Änderungsordnung (Gesamtfassung),,,,Lehramt
252,Promotionsordnung Philosophische Fakultät,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpbowwk,27.07.2022,2022/092,12. Änderungsordnung (Gesamtfassung),,,,nan
253,"Prüfungsordnung Metallurgical Engineering, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabowctrr,19.07.2022,2022/088,8. Änderungsordnung (Gesamtfassung),30.09.2025,2010 s,Metallurgical Engineering,Master
254,Ordnung für den Aachener Hochschulsport,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabowcswn,19.07.2022,2022/087,2. Änderungsordnung (Gesamtfassung),,,,nan
255,"Prüfungsordnung Governance von Technologie und Innovation, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabowcibh,19.07.2022,2022/085,Berichtigung der 1. Änderungsordnung (Gesamtfassung),,2019,Governance von Technologie und Innovation,Master
256,Satzung des Studierendenwerks Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabowayfw,19.07.2022,2022/084,Ordnung,,,,nan
257,Gleichstellungsquote für den Zeitraum 01.10.2021 bis 30.09.2024,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboqlhup,08.07.2022,2022/080,Ordnung,30.09.2024,,,nan
258,Dienstanweisung 7.6 Liquiditätsmanagement (Kasse),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabomihqc,04.07.2022,2022/079,Sonstiges,,,,nan
259,Jahresabschluss des Studierendenwerks Aachen - Anstalt des öffentlichen Rechts - für das Geschäftsjahr vom 1. Januar bis zum 31. Dezember 2020,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboiayfm,27.06.2022,2022/074,Sonstiges,,,,nan
260,"Prüfungsordnung Betriebswirtschaftslehre (Business Administration), Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboiahvo,27.06.2022,2022/072,6. Änderungsordnung (Gesamtfassung),31.03.2026,2019,BWL / Business Administration,Bachelor
261,"Prüfungsordnung Betriebswirtschaftslehre (Business Administration), Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboiadau,27.06.2022,2022/071,2. Änderungsordnung (Gesamtfassung),,2021,Betriebswirtschaftslehre,Bachelor
262,Dienstanweisung für die Finanzbuchhaltung an der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabohxpac,27.06.2022,2022/070,Sonstiges,,,,nan
263,Auswahlkriterien Auswahlverfahren im Studiengängen Zahnmedizin ab dem Wintersemester 2020/2021,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboekwrg,22.06.2022,2022/069,Ordnung,,,,nan
264,Auswahlkriterien Auswahlverfahren im Studiengang Humanmedizin ab dem Wintersemester 2020/2021,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboekujf,22.06.2022,2022/068,Ordnung,,,,nan
265,Fachschaftsordnung 1/3 Biowissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboekqwe,22.06.2022,2022/067,4. Änderungsordnung (Gesamtfassung),,,,nan
266,"Fakultätsordnung, Mathematik, Informatik und Naturwissenschaften",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabnpyvrt,02.06.2022,2022/060,8. Änderungsordnung (Gesamtfassung),,,,nan
267,Promotionsordnung Fakultät Wirtschaftswissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabnlljxc,27.05.2022,2022/058,7. Änderungsordnung (Gesamtfassung),,,,nan
268,"Prüfungsordnung Politikwissenschaft, Master, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabnlkvau,27.05.2022,2022/057,Ordnung,,2022,Politikwissenschaft,Master
269,"Prüfungsordnung berufliche Fachrichtung Textiltechnik, Lehramt an Berufskollegs, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaablynhiv,12.04.2022,2022/046,Ordnung,,2022,Textiltechnik Berufskolleg,Lehramt
270,Leitlinie guter Beschäftigungsbedingungen für das Personal,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaablmtazx,01.04.2022,2022/028,Berichtigung der Richtlinie,,,,nan
271,"Prüfungsordnung, Literatur- und Sprachwissenschaft, Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaablgbaht,25.03.2022,2022/023,Berichtigung der 5. Änderungsordnung (Gesamtfassung),31.03.2026,2015,Literatur- und Sprachwissenschaft,Master
272,"Prüfungsordnung Data Analytics and Decision Science, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabkhzhiu,02.03.2022,2022/017,4. Änderungsordnung (Gesamtfassung),,2019,Data Analytics and Decision Science (privatrechtlich),Master
273,"Prüfungsordnung Governance von Technologie und Innovation, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabkgceiu,25.02.2022,2022/015,1. Änderungsordnung (Gesamtfassung),,2019,Governance von Technologie und Innovation,Master
274,"Prüfungsordnung Germanistische und Allgemeine Literaturwissenschaften ,Master (10/2022 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabjuqbqw,11.02.2022,2022/012,Ordnung,,2022 s,Gesellschaftswissenschaften,Master
275,"Prüfungsordnung, Literatur- und Sprachwissenschaft, Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabkactzd,10.02.2022,2022/009,5. Änderungsordnung (Gesamtfassung),31.03.2026,2015,Literatur- und Sprachwissenschaft,Master
276,"Prüfungsordnung berufliche Fachrichtung Wirtschaftswissenschaft, Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabjtlgct,10.02.2022,2022/007,5. Änderungsordnung (Gesamtfassung),,2017,Wirtschaftswissenschaften Berufskolleg,Lehramt
277,"Fakultätsordnung, Bauingenieurwesen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiranjv,10.01.2022,2022/001,4. Änderungsordnung (Gesamtfassung),,,,nan
278,Publikationsrichtlinie der Rheinisch-Westfälischen Technischen Hochschule Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabijvsxp,23.12.2021,2021/211,1. Änderungsordnung (Gesamtfassung),,,,nan
279,"Richtlinien zur Vergabe, Förderung und Durchführung von Langzeitfellowship-Programmen an der RWTH Aachen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabijveay,23.12.2021,2021/210,Richtlinie,,,,nan
280,Wahlordnung für die Wahlen zum Senat und zu den Fakultätsräten,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabieuqxf,15.12.2021,2021/209,7. Änderungsordnung (Gesamtfassung),,,,nan
281,Verfahrensordnung der Rheinisch-Westfälischen Technischen Hochschule Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiettod,15.12.2021,2021/208,9. Änderungsordnung (Gesamtfassung),,,,nan
282,"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Maschinenbau, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiemjdo,15.12.2021,2021/205,6. Änderungsordnung (Gesamtfassung),30.09.2024,2011 s,Wirtschaftsingenieurwesen Maschinenbau,Bachelor
283,"Prüfungsordnung Unterrichtsfach Katholische Religionslehre, Master, Lehramt an Gymnasien und Gesamtschulen (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiaztdt,09.12.2021,2021/201,1. Änderungsordnung (Gesamtfassung),,2017,Katholische Religionslehre,Lehramt
284,"Prüfungsordnung Unterrichtsfach Katholische Religionslehre, Master, Lehramt an Berufskollegs (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabialaar,08.12.2021,2021/200,1. Änderungsordnung (Gesamtfassung),,2017,Katholische Religionslehre,Lehramt
285,"Prüfungsordnung Physik Plus, Bachelor, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiafuvb,08.12.2021,2021/197,3. Änderungsordnung (Gesamtfassung),30.09.2028,2020,Physik Plus,Bachelor
286,"Prüfungsordnung Physik, Bachelor, (10/2012 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiafigo,08.12.2021,2021/196,3. Änderungsordnung (Gesamtfassung),31.03.2027,2012 s,Physik,Bachelor
287,Fachschaftsordnung 1/2 Chemie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiaaylg,08.12.2021,2021/194,6. Änderungsordnung (Gesamtfassung),,,,nan
288,"Prüfungsordnung Wirtschaftsingenieurwesen (Fachrichtung Elektrische Energietechnik), Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabhbkskk,12.11.2021,2021/190,Berichtigung der 4. Änderungsordnung (Gesamtfassung),,2015,Wirtschaftsingenieurwesen Elektr. Energietechnik,Master
289,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfytjos,18.10.2021,2021/182,Berichtigung der 2. Änderungsordnung (Gesamtfassung),31.03.2028,2017,Biologie,Lehramt
290,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfytfdz,18.10.2021,2021/181,Berichtigung der 2. Änderungsordnung (Gesamtfassung),31.03.2028,2017,Biologie,Lehramt
291,"Prüfungsordnung Computational Engineering Science, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfyszxt,18.10.2021,2021/180,5. Änderungsordnung (Gesamtfassung),,2011 s,Computational Engineering Science,Bachelor
292,"Prüfungsordnung Computational Engineering Science, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfqhbjj,08.10.2021,2021/177,6. Änderungsordnung (Gesamtfassung),,2011 s,Computational Engineering Science,Master
293,Geschäftsordnung für das Planning and Allocation Committee,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfjjgtt,04.10.2021,2021/173,Ordnung,,,,nan
294,"Prüfungsordnung Betriebswirtschaftslehre (Business Administration), Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfcenye,28.09.2021,2021/171,9. Änderungsordnung (Gesamtfassung),30.09.2024,2013,Betriebswirtschaftslehre,Master
295,"Prüfungsordnung Chemie, Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabetrawe,21.09.2021,2021/161,Ordnung,,2021,Chemie,Bachelor
