Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen
"Prüfungsordnung Allgemeiner Maschinenbau, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqtbmii,29.10.2024,2024/133,10. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Energietechnik, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqtawie,29.10.2024,2024/132,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Kunststoff- und Textiltechnik, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqrpogp,28.10.2024,2024/131,8. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Luft- und Raumfahrttechnik, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqroljh,28.10.2024,2024/130,7. Änderungsordnung (Gesamtfassung),
Digitallehrkonzept der Fakultät für Maschinenwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqjjxzv,17.10.2024,2024/129,Sonstiges,
Fachschaftszuordnungsordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqjizlj,17.10.2024,2024/128,8. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Verfahrenstechnik, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqjisqu,17.10.2024,2024/127,10. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Automotive Engineering, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqjhfjg,17.10.2024,2024/126,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Media Informatics, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpysbox,08.10.2024,2024/125,3. Änderungsordnung (Gesamtfassung),30.09.2028
Studien- und Prüfungsordnung Zahnmedizin,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacprhuxw,30.09.2024,2024/124,1. Änderungsordnung (Gesamtfassung),
"Studien- und Prüfungsordnung, Medizin, Modellstudiengang",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpojoah,25.09.2024,2024/123,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Betriebswirtschaftslehre (Business Administration), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpojcgs,25.09.2024,2024/122,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftswissenschaft, Master, (10/2014 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpoiylh,25.09.2024,2024/121,10. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Informatik, Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmybwn,24.09.2024,2024/119,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Informatik, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmxxls,24.09.2024,2024/118,10. Änderungsordnung (Gesamtfassung),31.03.2026
"Prüfungsordnung Informatik, Bachelor, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmxvci,24.09.2024,2024/117,4. Änderungsordnung (Gesamtfassung),30.09.2026
"Prüfungsordnung Informatik, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmxsvv,24.09.2024,2024/116,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Maschinenbau, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmuwrp,24.09.2024,2024/115,9. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Software Systems Engineering, Master, (10/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpcajbk,13.09.2024,2024/113,5. Änderungsordnung (Gesamtfassung),30.09.2027
