Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen
Gleichstellungsquote für den Zeitraum 01.10.2021 bis 30.09.2024,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboqlhup,08.07.2022,2022/080,Ordnung,30.09.2024
Dienstanweisung 7.6 Liquiditätsmanagement (Kasse),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabomihqc,04.07.2022,2022/079,Sonstiges,
Jahresabschluss des Studierendenwerks Aachen - Anstalt des öffentlichen Rechts - für das Geschäftsjahr vom 1. Januar bis zum 31. Dezember 2020,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboiayfm,27.06.2022,2022/074,Sonstiges,
"Prüfungsordnung Betriebswirtschaftslehre (Business Administration), Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboiahvo,27.06.2022,2022/072,6. Änderungsordnung (Gesamtfassung),31.03.2026
"Prüfungsordnung Betriebswirtschaftslehre (Business Administration), Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboiadau,27.06.2022,2022/071,2. Änderungsordnung (Gesamtfassung),
Dienstanweisung für die Finanzbuchhaltung an der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabohxpac,27.06.2022,2022/070,Sonstiges,
Auswahlkriterien Auswahlverfahren im Studiengängen Zahnmedizin ab dem Wintersemester 2020/2021,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboekwrg,22.06.2022,2022/069,Ordnung,
Auswahlkriterien Auswahlverfahren im Studiengang Humanmedizin ab dem Wintersemester 2020/2021,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboekujf,22.06.2022,2022/068,Ordnung,
Fachschaftsordnung 1/3 Biowissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaboekqwe,22.06.2022,2022/067,4. Änderungsordnung (Gesamtfassung),
"Fakultätsordnung, Mathematik, Informatik und Naturwissenschaften",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabnpyvrt,02.06.2022,2022/060,8. Änderungsordnung (Gesamtfassung),
Promotionsordnung Fakultät Wirtschaftswissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabnlljxc,27.05.2022,2022/058,7. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Politikwissenschaft, Master, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabnlkvau,27.05.2022,2022/057,Ordnung,
"Prüfungsordnung berufliche Fachrichtung Textiltechnik, Lehramt an Berufskollegs, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaablynhiv,12.04.2022,2022/046,Ordnung,
Leitlinie guter Beschäftigungsbedingungen für das Personal,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaablmtazx,01.04.2022,2022/028,Berichtigung der Richtlinie,
"Prüfungsordnung, Literatur- und Sprachwissenschaft, Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaablgbaht,25.03.2022,2022/023,Berichtigung der 5. Änderungsordnung (Gesamtfassung),31.03.2026
"Prüfungsordnung Data Analytics and Decision Science, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabkhzhiu,02.03.2022,2022/017,4. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Governance von Technologie und Innovation, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabkgceiu,25.02.2022,2022/015,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Germanistische und Allgemeine Literaturwissenschaften ,Master (10/2022 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabjuqbqw,11.02.2022,2022/012,Ordnung,
"Prüfungsordnung, Literatur- und Sprachwissenschaft, Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabkactzd,10.02.2022,2022/009,5. Änderungsordnung (Gesamtfassung),31.03.2026
"Prüfungsordnung berufliche Fachrichtung Wirtschaftswissenschaft, Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabjtlgct,10.02.2022,2022/007,5. Änderungsordnung (Gesamtfassung),
"Fakultätsordnung, Bauingenieurwesen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiranjv,10.01.2022,2022/001,4. Änderungsordnung (Gesamtfassung),
Publikationsrichtlinie der Rheinisch-Westfälischen Technischen Hochschule Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabijvsxp,23.12.2021,2021/211,1. Änderungsordnung (Gesamtfassung),
"Richtlinien zur Vergabe, Förderung und Durchführung von Langzeitfellowship-Programmen an der RWTH Aachen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabijveay,23.12.2021,2021/210,Richtlinie,
Wahlordnung für die Wahlen zum Senat und zu den Fakultätsräten,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabieuqxf,15.12.2021,2021/209,7. Änderungsordnung (Gesamtfassung),
Verfahrensordnung der Rheinisch-Westfälischen Technischen Hochschule Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiettod,15.12.2021,2021/208,9. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Maschinenbau, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiemjdo,15.12.2021,2021/205,6. Änderungsordnung (Gesamtfassung),30.09.2024
"Prüfungsordnung Unterrichtsfach Katholische Religionslehre, Master, Lehramt an Gymnasien und Gesamtschulen (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiaztdt,09.12.2021,2021/201,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Katholische Religionslehre, Master, Lehramt an Berufskollegs (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabialaar,08.12.2021,2021/200,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Physik Plus, Bachelor, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiafuvb,08.12.2021,2021/197,3. Änderungsordnung (Gesamtfassung),30.09.2028
"Prüfungsordnung Physik, Bachelor, (10/2012 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiafigo,08.12.2021,2021/196,3. Änderungsordnung (Gesamtfassung),31.03.2027
Fachschaftsordnung 1/2 Chemie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabiaaylg,08.12.2021,2021/194,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftsingenieurwesen (Fachrichtung Elektrische Energietechnik), Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabhbkskk,12.11.2021,2021/190,Berichtigung der 4. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfytjos,18.10.2021,2021/182,Berichtigung der 2. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfytfdz,18.10.2021,2021/181,Berichtigung der 2. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Computational Engineering Science, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfyszxt,18.10.2021,2021/180,5. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Computational Engineering Science, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfqhbjj,08.10.2021,2021/177,6. Änderungsordnung (Gesamtfassung),
Geschäftsordnung für das Planning and Allocation Committee,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfjjgtt,04.10.2021,2021/173,Ordnung,
"Prüfungsordnung Betriebswirtschaftslehre (Business Administration), Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabfcenye,28.09.2021,2021/171,9. Änderungsordnung (Gesamtfassung),30.09.2024
"Prüfungsordnung Chemie, Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabetrawe,21.09.2021,2021/161,Ordnung,
"Prüfungsordnung Große beruflichen Fachrichtung Maschinenbautechnik, Lehramt an Berufkollegs, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabefsyno,07.09.2021,2021/150,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung berufliche Fachrichtung Maschinenbautechnik, Master, Lehramt an Berufskollegs (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabefrlkw,07.09.2021,2021/148,Ordnung,
"Prüfungsordnung berufliche Fachrichtung Maschinenbautechnik, Master, Lehramt an Berufskollegs (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabefqiis,07.09.2021,2021/147,2. Änderungsordnung (Gesamtfassung),31.03.2029
"Prüfungsordnung Psychologie, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabeezshn,06.09.2021,2021/143,1. Änderungsordnung (Gesamtfassung),30.09.2027
"Prüfungsordnung Empirische Bildungsforschung, Master, (10/2014)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabeezath,06.09.2021,2021/142,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Digitale Medienkommunikation, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdveifx,27.08.2021,2021/141,Ordnung,
Habilitationsordnung Medizinische Fakultät,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdvdvat,27.08.2021,2021/140,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Mathematik, Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdiaquk,10.08.2021,2021/136,Ordnung,
Promotionsordnung Fakultät Elektrotechnik und Informationstechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdhzjbf,10.08.2021,2021/134,4. Änderungsordnung (Gesamtfassung),
Fachschaftsordnung 10/1 Medizin,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdhxend,10.08.2021,2021/130,2. Änderungsordnung (Gesamtfassung),
"Ethik: Satzung der Ethikkommission, Fachgruppe Empirische Humanwissenschaften, Philosophische Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdcnvmf,03.08.2021,2021/129,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftsingenieurwesen (Fachrichtung Werkstoff- und Prozesstechnik), Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabdbpmsk,02.08.2021,2021/125,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftsingenieurwesen (Fachrichtung Elektrische Energietechnik), Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcxntuo,27.07.2021,2021/115,4. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcdgvwa,01.07.2021,2021/107,2. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcdgqtw,01.07.2021,2021/106,2. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcdgcvm,01.07.2021,2021/105,2. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabcdfhdb,01.07.2021,2021/104,2. Änderungsordnung (Gesamtfassung),31.03.2028
Ordnung für die Deutsche Sprachprüfung für den Hochschulzugang ausländischer Studienbewerberinnen und Studienbewerber (DSH),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabbznxcs,28.06.2021,2021/103,Ordnung,
"Prüfungsordnung Soziologie, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabawdsvk,25.05.2021,2021/095,Berichtigung der Ordnung,31.03.2027
"Ordnung zur Verleihung -außerplanmäßige Professorin-, außerplanmäßiger Professor, -Honorarprofessorin und Honorarprofessor-",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaejcefk,10.05.2021,2021/092,4. Änderungsordnung (Gesamtfassung),
"Richtlinien zur Aufbewahrung, Aussonderung, Archivierung und Vernichtung von Akten und Unterlagen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabafvdxi,04.05.2021,2021/088,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Soziologie, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabaahyot,29.04.2021,2021/087,Ordnung,31.03.2027
"Prüfungsordnung Production Systems Engineering, Master, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabaagqyo,29.04.2021,2021/084,8. Änderungsordnung,
"Prüfungsordnung Politikwissenschaft, Master, (10/2014 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaazvqmjo,23.04.2021,2021/079,2. Änderungsordnung (Gesamtfassung),30.09.2025
"Prüfungsordnung Deutsch als Zweitsprache, Zertifikat",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaazfvvai,06.04.2021,2021/073,Ordnung,
"Prüfungsordnung Materialwissenschaften, Master, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaazeivbg,01.04.2021,2021/068,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Materialwissenschaften, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaayzitlb,26.03.2021,2021/063,1. Änderungsordnung (Gesamtfassung),30.09.2027
"Prüfungsordnung Unterrichtsfach Wirtschaftslehre/Politik, Master, Lehramt an Berufskollegs (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaayotfrn,17.03.2021,2021/054,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Cognitive, Digital and Empirical English Studies, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaycgknq,04.03.2021,2021/047,Ordnung,
"Prüfungsordnung Laboratory Animal Science, Master, (10/2014 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaycgfim,04.03.2021,2021/045,1. Änderungsordnung (Gesamtfassung),
Berufungsordnung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaxegibn,04.02.2021,2021/025,4. Änderungsordnung (Gesamtfassung),
Ordnung zur Zwischenevaluation von Juniorprofessorinnen und Juniorprofessoren,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaxefppg,04.02.2021,2021/024,Ordnung,
Ordnung zum Tenure-Track-Verfahren an der RWTH-Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaxeferh,04.02.2021,2021/023,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Mathematik, Bachelor, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawqlcdx,13.01.2021,2021/019,Berichtigung der 5. Änderungsordnung (Gesamtfassung),30.09.2026
Fachschaftsordnung 7/1 Philosophie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawqivxo,20.01.2021,2021/014,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Periodontology, Master, 102021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawqigth,20.01.2021,2021/013,Ordnung,
"Prüfungsordnung Unterrichtsfach Physik, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawqhvbe,20.01.2021,2021/012,Berichtigung der 3. Änderungsordnung (Gesamtfassung),31.03.2027
Geschäftsordnung des Fachschaftsrates der Fachschaft 5/2 Materialwissenschaft und Werkstofftechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawfgqga,08.01.2021,2021/010,3. Änderungsordnung (Gesamtfassung),
Fachschaftsordnung 5/2 Materialwissenschaft und Werkstofftechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaawfgkck,08.01.2021,2021/009,5. Änderungsordnung (Gesamtfassung),
Grundsätze für akademische Ehrungen und Auszeichnungen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavxkpli,18.12.2020,2020/211,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Angewandte Geographie, Bachelor, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavtixcm,15.12.2020,2020/203,4. Änderungsordnung (Gesamtfassung),
"Gesamtprüfungsordnung Elektrotechnik mit Orientierungssemester, Bachelor, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaviyqgq,03.12.2020,2020/194,2. Änderungsordnung (Gesamtfassung),
Fachschaftsordnung 10/2 Zahnmedizin,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaviycze,03.12.2020,2020/193,1. Änderungsordnung (Gesamtfassung),
Fachschaftsordnung 3 Bauingenieurwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavhnicf,02.12.2020,2020/190,3. Änderungsordnung (Gesamtfassung),
Geschäftsordnung der Obleuteversammlung des Sportreferats der Studierendenschaft der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaveanvz,26.11.2020,2020/187,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Physik, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaveabys,26.11.2020,2020/186,3. Änderungsordnung (Gesamtfassung),31.03.2027
"Prüfungsordnung Unterrichtsfach Physik, Bachelor, Lehramt an Berufskollegs, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavdzvhl,26.11.2020,2020/185,3. Änderungsordnung (Gesamtfassung),31.03.2027
"Prüfungsordnung Mathematik, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavatkug,23.11.2020,2020/183,2. Änderungsordnung (Gesamtfassung),31.03.2027
"Prüfungsordnung Mathematik, Bachelor, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaavateok,23.11.2020,2020/182,5. Änderungsordnung (Gesamtfassung),30.09.2026
Satzung des Kompetenzzentrums MINT-L4@RWTH,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaucaaow,30.10.2020,2020/173,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Große berufliche Fachrichtung Bautechnik, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaubyiik,30.10.2020,2020/171,Ordnung,31.03.2026
"Prüfungsordnung berufliche Fachrichtung Bautechnik, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaubxwtm,30.10.2020,2020/170,Ordnung,
"Prüfungsordnung berufliche Fachrichtung Maschinenbau, Bachelor, Lehramt an Berufskollegs (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaatfufeb,12.10.2020,2020/167,Ordnung,
Habilitationsordnung Fakultät für Elektrotechnik und Informationstechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaasvbthf,07.10.2020,2020/165,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Deutsch, Master, Lehramt an Berufskollegs (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaarfelag,18.08.2020,2020/145,Ordnung,
"Prüfungsordnung Unterrichtsfach Deutsch, Master, Lehramt an Gymnasien und Gesamtschulen (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaarfedne,18.08.2020,2020/144,Ordnung,
CLUSTERSTATUT ML4Q,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqujbrr,05.08.2020,2020/138,Sonstiges,
"Prüfungsordnung Unterrichtsfach Deutsch, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqkgzvv,22.07.2020,2020/127,Ordnung,
"Prüfungsordnung Unterrichtsfach Deutsch, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqkgsqv,22.07.2020,2020/126,Ordnung,
"Prüfungsordnung Unterrichtsfach Englisch, Master, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqkgmoh,22.07.2020,2020/125,Berichtigung der Ordnung,
"Prüfungsordnung Unterrichtsfach Englisch, Master, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqkgnhj,22.07.2020,2020/124,Berichtigung der Ordnung,
"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqhfncj,17.07.2020,2020/123,Berichtigung der Ordnung,
"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqhfmha,17.07.2020,2020/122,Berichtigung der Ordnung,
"Fakultätsordnung, Maschinenwesen",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqcuupy,13.07.2020,2020/116,8. Änderungsordnung (Gesamtfassung),
Gleichstellungsquote für Berufungen mit Tenure Track,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaqcnrar,10.07.2020,2020/115,Sonstiges,30.09.2024
"Ethik: Satzung der Ethik-Kommission, Medizinischen Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaapvwdgs,03.07.2020,2020/103,2. Änderungsordnung (Gesamtfassung),
"Benutzungsordnung, Hochschulbibliothek",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaprakfm,29.06.2020,2020/102,1. Änderungsordnung (Gesamtfassung),
Geschäftsordnung des Hochschulrates,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaapcvckz,09.06.2020,2020/089,5. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung berufliche Fachrichtung Textiltechnik, Lehramt an Berufskollegs, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaokihdh,26.05.2020,2020/079,1. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Technology Entrepreneurship, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaokhvwx,26.05.2020,2020/078,1. Änderungsordnung (Gesamtfassung),
Satzung für das Auswahlverfahren in bundesweit zulassungsbeschränkten Studiengängen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaanwqahe,06.05.2020,2020/065,Ordnung,
Ergänzende Bestimmungen des Graduiertenkollegs Mittelstadt als Mitmachstadt -zur Rahmenordnung der Rheinisch-Westfälische Technische Hochschule Aachen zur Vergabe von Stipendien (Stipendienrahmenordnung)-,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaantxjav,30.04.2020,2020/064,Sonstiges,
"Prüfungsordnung Unterrichtsfach Englisch, Master, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfwbot,23.03.2020,2020/048,Ordnung,
"Prüfungsordnung Unterrichtsfach Englisch, Master, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfvzoa,23.03.2020,2020/047,Ordnung,
"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Berufskollegs, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfvpbu,23.03.2020,2020/046,Ordnung,
"Prüfungsordnung Unterrichtsfach Englisch, Bachelor, Lehramt an Gymnasien und Gesamtschulen, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamfvmky,23.03.2020,2020/045,Ordnung,
Satzung für die Vergabe des Brigitte-Gilles-Preises,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaamennpq,19.03.2020,2020/044,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Theologie und Globale Entwicklung, Master (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaajwfpao,13.01.2020,2020/001,Ordnung,
"Gesamtprüfungsordnung Bauingenieurwesen mit Orientierungssemester, Bachelor, (04/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaiwuccv,06.12.2019,2019/207,Ordnung,
Habilitationsordnung Fakultät für Maschinenwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaitekbk,04.12.2019,2019/191,2. Änderungsordnung (Gesamtfassung),
Ordnung für das Sportreferat,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaijpsnt,22.11.2019,2019/190,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Master of Science in Management and Engineering in Computer Aided Mechanical Engineering (MME-CAME) der RWTH Aachen und der Maatricht School of Management, Master, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaahambgk,16.10.2019,2019/171,2. Änderungsordnung (Gesamtfassung),30.09.2024
Benutzungsordnung Fachbereichsbibliothek Wirtschaftswissenschaften,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaejcpdk,23.07.2019,2019/115,Ordnung,
"Prüfungsordnung Geschichtswissenschaft, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaegtuxm,19.07.2019,2019/104,Ordnung,
"Prüfungsordnung Psychologie, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaddyeae,11.06.2019,2019/091,Ordnung,
Habilitationsordnung Fakultät für Bauingenieurwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaddxvqd,11.06.2019,2019/089,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung mit der Großen beruflichen Fachrichtung Bautechnik, Master, Lehramt an Berufskollegs, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaddxnxk,11.06.2019,2019/087,1. Änderungsordnung (Gesamtfassung),31.03.2025
Habilitationsordnung Fakultät für Architektur,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaacneved,14.05.2019,2019/076,1. Änderungsordnung (Gesamtfassung),
